id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
553,female,group B,associate's degree,standard,none,40,48,50
904,female,group D,bachelor's degree,free/reduced,completed,93,100,100
91,female,group C,bachelor's degree,standard,none,65,72,74
940,male,group D,some high school,standard,completed,77,68,69
182,female,group C,some college,free/reduced,none,46,64,66
275,male,group B,some college,standard,completed,88,85,76
896,female,group E,some high school,free/reduced,none,32,34,38
70,female,group C,associate's degree,standard,none,39,64,57
292,male,group D,some high school,standard,none,86,73,70
132,male,group C,some high school,free/reduced,completed,53,37,40
301,male,group A,some college,free/reduced,completed,81,78,81
425,male,group B,some college,free/reduced,none,41,39,34
327,male,group C,some college,standard,none,61,61,62
145,male,group D,some college,standard,none,88,73,78
424,female,group A,some high school,standard,completed,59,85,80
581,female,group D,some high school,standard,none,81,97,96
136,male,group C,bachelor's degree,standard,none,58,55,48
451,female,group C,some college,free/reduced,completed,64,85,85
165,female,group E,master's degree,standard,none,81,92,91
29,male,group C,high school,standard,none,70,70,65
774,female,group C,bachelor's degree,free/reduced,none,62,78,79
194,male,group D,some college,standard,completed,77,62,62
389,female,group D,high school,standard,none,62,64,64
853,female,group E,some college,standard,none,87,85,93
170,female,group C,some college,free/reduced,completed,67,75,70
706,male,group A,bachelor's degree,free/reduced,none,62,72,65
141,female,group D,some high school,standard,none,76,72,71
174,female,group C,associate's degree,standard,none,63,67,70
7,female,group B,some college,standard,completed,88,95,92
746,male,group D,associate's degree,standard,none,72,79,74
479,female,group D,master's degree,standard,none,55,64,70
74,male,group C,some high school,free/reduced,none,61,57,56
911,male,group D,bachelor's degree,free/reduced,none,50,42,48
814,male,group E,some high school,standard,completed,87,84,76
239,male,group B,some college,standard,none,54,52,51
146,female,group C,some college,free/reduced,none,22,39,33
793,male,group D,high school,free/reduced,none,66,74,69
235,male,group C,bachelor's degree,standard,completed,83,82,84
221,female,group D,high school,standard,completed,56,68,74
924,female,group B,associate's degree,free/reduced,none,54,65,65
501,female,group D,master's degree,standard,none,74,79,82
133,male,group E,some college,free/reduced,completed,87,74,70
991,male,group E,high school,free/reduced,completed,86,81,75
775,male,group B,some college,standard,none,66,65,60
186,male,group C,associate's degree,free/reduced,completed,65,67,65
42,female,group C,associate's degree,standard,none,58,73,68
697,female,group C,associate's degree,standard,completed,75,82,90
109,female,group B,associate's degree,free/reduced,none,52,76,70
589,female,group C,some college,standard,none,54,64,65
57,female,group E,associate's degree,standard,completed,82,85,86
406,female,group C,some high school,standard,none,63,73,68
443,female,group A,some high school,free/reduced,none,59,73,69
758,male,group E,bachelor's degree,free/reduced,completed,70,68,72
998,female,group C,high school,free/reduced,completed,59,71,65
25,male,group D,bachelor's degree,free/reduced,completed,74,71,80
468,male,group A,high school,free/reduced,completed,72,67,65
540,male,group A,associate's degree,standard,completed,97,92,86
532,female,group C,some high school,standard,none,47,54,53
619,male,group D,master's degree,standard,none,95,81,84
695,female,group C,some high school,standard,none,49,63,56
927,male,group E,associate's degree,free/reduced,none,64,56,52
339,female,group B,some high school,free/reduced,none,24,38,27
52,male,group E,associate's degree,free/reduced,completed,77,69,68
508,male,group B,bachelor's degree,free/reduced,none,55,59,54
517,female,group D,some college,standard,none,74,89,84
921,male,group D,high school,free/reduced,none,69,70,67
782,female,group B,master's degree,standard,none,77,90,84
265,male,group D,high school,standard,none,76,73,68
818,male,group D,bachelor's degree,free/reduced,completed,61,70,76
711,male,group C,some college,standard,completed,93,84,90
683,male,group B,high school,standard,none,62,55,54
833,male,group A,bachelor's degree,standard,none,64,60,58
519,female,group D,some high school,standard,completed,66,78,78
448,male,group C,high school,standard,completed,86,81,80
19,male,group C,master's degree,free/reduced,completed,46,42,46
716,female,group B,associate's degree,free/reduced,completed,76,94,87
484,male,group A,high school,standard,none,59,52,46
569,male,group B,high school,free/reduced,none,63,48,47
434,female,group A,some high school,free/reduced,none,47,59,50
368,male,group C,bachelor's degree,free/reduced,none,61,66,61
84,male,group E,associate's degree,standard,none,72,64,63
62,male,group A,some high school,free/reduced,none,39,39,34
639,male,group E,some college,standard,none,86,76,74
273,female,group D,associate's degree,free/reduced,none,47,53,58
286,male,group B,associate's degree,standard,completed,81,82,82
361,female,group B,high school,standard,none,58,62,59
355,female,group C,some college,standard,none,59,71,70
457,female,group D,bachelor's degree,standard,none,79,89,89
279,female,group C,some high school,free/reduced,none,65,86,80
13,female,group B,high school,standard,none,65,81,73
183,female,group E,high school,standard,none,50,50,47
369,female,group A,some high school,free/reduced,none,44,64,58
882,female,group E,bachelor's degree,standard,completed,71,70,70
616,female,group C,high school,standard,none,60,68,72
224,male,group D,some high school,standard,none,86,80,75
573,female,group C,some college,standard,none,53,62,56
971,female,group D,bachelor's degree,standard,none,89,100,100
654,female,group A,associate's degree,standard,completed,65,70,74
546,male,group E,some high school,free/reduced,completed,78,83,80
583,female,group D,bachelor's degree,free/reduced,none,63,73,78
634,female,group C,high school,standard,none,75,88,85
177,female,group B,high school,free/reduced,completed,46,54,58
666,female,group C,some high school,free/reduced,completed,50,60,60
674,female,group C,associate's degree,standard,completed,65,84,84
586,female,group C,associate's degree,standard,none,65,76,76
874,male,group E,associate's degree,free/reduced,none,90,90,82
394,male,group C,associate's degree,standard,completed,57,54,56
164,male,group C,high school,standard,none,52,53,49
249,female,group B,high school,standard,none,65,64,62
635,male,group D,some high school,standard,none,84,84,80
886,female,group C,associate's degree,standard,completed,62,76,80
670,male,group D,associate's degree,standard,completed,81,72,77
376,male,group E,associate's degree,free/reduced,none,46,43,41
413,male,group D,associate's degree,standard,none,71,66,60
75,male,group C,some high school,standard,none,49,49,41
114,female,group D,some college,standard,none,51,58,54
599,female,group D,high school,standard,none,69,77,73
962,female,group D,some high school,free/reduced,none,48,54,53
391,male,group E,some high school,free/reduced,completed,73,67,59
105,male,group C,some college,standard,completed,98,86,90
115,female,group E,bachelor's degree,standard,completed,99,100,100
418,male,group C,associate's degree,standard,none,74,73,67
526,male,group E,some college,standard,none,68,60,59
458,male,group D,associate's degree,free/reduced,none,53,54,48
410,male,group D,associate's degree,standard,completed,87,84,85
93,male,group C,high school,standard,none,71,79,71
931,male,group C,some college,free/reduced,completed,67,74,70
90,female,group D,some high school,standard,none,73,86,82
337,male,group D,some high school,standard,completed,76,70,69
989,female,group A,some high school,free/reduced,none,44,45,45
922,female,group C,high school,free/reduced,none,35,53,46
934,male,group C,bachelor's degree,free/reduced,completed,70,75,74
606,male,group C,some high school,standard,none,75,72,62
594,female,group E,high school,standard,none,74,76,73
612,female,group C,some college,standard,none,58,59,66
95,female,group B,some college,standard,none,79,86,92
12,male,group D,associate's degree,standard,none,40,52,43
397,female,group B,high school,free/reduced,none,50,67,63
534,female,group E,associate's degree,standard,completed,79,88,94
44,male,group B,some college,free/reduced,completed,59,65,66
43,female,group B,associate's degree,standard,none,53,58,65
330,female,group B,some high school,standard,none,41,55,51
168,female,group B,master's degree,free/reduced,completed,58,76,78
498,female,group D,some college,free/reduced,completed,59,78,76
877,male,group D,some college,standard,none,81,82,84
598,male,group A,some high school,standard,none,53,54,48
757,male,group D,some college,standard,none,55,58,52
101,male,group B,some college,standard,none,79,67,67
427,male,group C,bachelor's degree,standard,none,86,83,86
179,female,group B,master's degree,free/reduced,completed,52,70,62
445,male,group A,some high school,free/reduced,none,79,82,73
417,male,group C,bachelor's degree,standard,completed,71,74,68
871,male,group B,high school,standard,none,59,58,47
883,female,group B,high school,free/reduced,none,64,73,71
681,female,group D,high school,standard,none,67,72,74
178,female,group C,associate's degree,standard,completed,71,77,77
396,male,group A,high school,free/reduced,none,48,45,41
912,female,group A,some college,standard,none,69,84,82
794,male,group E,some high school,standard,completed,89,84,77
961,female,group A,some college,standard,none,56,58,64
685,male,group B,some college,standard,completed,62,66,68
384,female,group E,some high school,free/reduced,none,38,49,45
957,male,group C,some college,standard,none,84,87,81
752,male,group E,some college,standard,none,68,72,65
258,male,group C,associate's degree,standard,completed,78,77,77
539,male,group E,bachelor's degree,standard,completed,85,66,71
336,female,group B,some college,free/reduced,none,61,68,66
16,female,group C,some high school,standard,none,69,75,78
325,female,group C,high school,free/reduced,none,41,46,43
759,female,group D,some college,free/reduced,completed,52,59,65
223,female,group C,some high school,free/reduced,none,55,65,62
180,female,group D,some high school,standard,completed,97,100,100
984,female,group A,some college,standard,completed,78,87,91
23,male,group D,some college,standard,none,44,54,53
357,male,group A,associate's degree,standard,none,63,61,61
667,female,group C,some college,free/reduced,completed,63,73,71
862,female,group E,master's degree,free/reduced,none,81,86,87
341,male,group C,high school,free/reduced,none,58,61,52
432,female,group C,high school,standard,none,61,72,70
552,male,group B,bachelor's degree,free/reduced,completed,87,90,88
834,female,group B,high school,standard,completed,77,82,89
204,female,group B,associate's degree,standard,none,57,69,68
631,male,group D,some college,standard,none,67,64,70
94,male,group C,associate's degree,free/reduced,completed,43,45,50
559,female,group B,associate's degree,free/reduced,none,53,70,70
69,male,group B,associate's degree,free/reduced,none,61,58,56
623,male,group C,high school,free/reduced,completed,58,51,52
285,female,group B,some high school,standard,none,37,46,46
845,female,group D,some high school,free/reduced,completed,40,65,64
435,male,group C,some high school,standard,none,73,66,66
154,male,group D,bachelor's degree,standard,none,54,49,47
76,male,group B,associate's degree,free/reduced,none,44,41,38
731,female,group B,associate's degree,free/reduced,completed,68,77,80
447,male,group D,some college,free/reduced,none,69,66,60
189,male,group B,some high school,free/reduced,none,48,52,45
272,male,group C,some college,standard,none,58,49,42
237,male,group D,bachelor's degree,free/reduced,none,63,66,67
488,female,group C,associate's degree,free/reduced,none,60,75,74
118,female,group D,bachelor's degree,standard,none,78,82,79
944,male,group A,some high school,free/reduced,completed,61,62,61
513,male,group D,some high school,free/reduced,none,62,49,52
826,male,group C,high school,standard,none,62,67,58
592,male,group A,some high school,standard,none,71,62,50
127,male,group B,some high school,standard,none,72,68,67
117,female,group B,bachelor's degree,free/reduced,none,75,85,82
474,female,group D,some high school,standard,none,59,67,61
694,female,group D,associate's degree,standard,none,77,77,73
58,male,group D,associate's degree,standard,none,52,55,49
864,female,group C,some college,standard,completed,71,71,80
913,female,group C,bachelor's degree,standard,completed,52,61,66
370,female,group D,some high school,standard,none,73,84,85
269,female,group D,associate's degree,standard,completed,88,92,95
47,female,group A,associate's degree,standard,completed,55,65,62
350,male,group E,associate's degree,standard,none,87,74,76
196,male,group D,associate's degree,standard,none,61,55,52
1000,female,group D,some college,free/reduced,none,77,86,86
835,male,group B,some college,standard,none,58,50,45
737,male,group C,associate's degree,standard,none,92,79,84
264,female,group E,high school,standard,none,99,93,90
444,female,group B,associate's degree,standard,none,73,83,76
676,female,group B,some college,standard,completed,50,64,66
305,female,group C,associate's degree,standard,completed,74,75,83
342,female,group C,high school,standard,none,61,73,63
967,male,group A,some high school,standard,completed,66,68,64
150,male,group E,associate's degree,free/reduced,completed,100,100,93
125,male,group E,some college,standard,none,83,80,73
787,female,group E,some high school,free/reduced,none,72,79,77
51,male,group E,some college,standard,none,53,55,48
354,female,group C,associate's degree,standard,none,46,58,57
928,female,group D,high school,free/reduced,completed,65,61,71
143,female,group E,some college,free/reduced,completed,42,55,54
471,female,group C,associate's degree,standard,completed,83,85,90
400,male,group D,some high school,standard,none,60,59,54
626,male,group D,some college,standard,completed,100,97,99
321,female,group C,high school,free/reduced,completed,67,79,84
20,female,group C,associate's degree,free/reduced,none,54,58,61
810,male,group B,bachelor's degree,standard,none,59,54,51
791,female,group B,high school,standard,none,48,62,60
809,male,group C,high school,standard,none,90,75,69
408,female,group B,associate's degree,standard,none,82,80,77
538,female,group D,high school,standard,none,51,66,62
621,female,group C,high school,free/reduced,none,35,61,54
39,female,group D,associate's degree,free/reduced,completed,75,90,88
176,female,group C,master's degree,standard,completed,81,91,87
246,male,group C,associate's degree,standard,none,85,76,71
829,female,group D,some high school,free/reduced,completed,69,86,81
668,female,group B,bachelor's degree,free/reduced,none,77,85,87
755,male,group C,associate's degree,free/reduced,none,58,55,53
859,male,group B,high school,standard,completed,52,49,46
155,male,group D,some high school,standard,none,62,67,61
288,female,group B,some high school,standard,none,67,89,82
603,female,group E,some college,standard,none,76,78,80
570,male,group D,bachelor's degree,free/reduced,none,68,68,67
744,female,group C,associate's degree,standard,completed,59,73,72
18,female,group B,some high school,free/reduced,none,18,32,28
128,male,group D,some college,standard,completed,65,77,74
323,female,group C,some college,standard,none,71,81,80
256,female,group E,some college,standard,none,62,73,70
658,male,group D,some high school,standard,none,69,66,61
965,male,group D,some college,standard,none,72,57,58
191,female,group E,associate's degree,standard,none,66,65,69
116,male,group C,high school,standard,none,84,77,74
617,female,group E,bachelor's degree,standard,none,37,45,38
607,female,group C,associate's degree,standard,none,85,84,82
181,male,group C,master's degree,free/reduced,completed,62,68,75
302,male,group D,some high school,free/reduced,none,56,54,52
760,male,group B,some college,standard,completed,69,77,77
713,female,group D,some college,standard,none,98,100,99
724,male,group C,high school,standard,none,50,48,42
686,female,group E,master's degree,standard,completed,94,99,100
980,female,group C,associate's degree,standard,none,91,95,94
518,female,group E,some college,standard,completed,66,74,73
985,female,group C,some high school,standard,none,74,75,82
46,male,group B,associate's degree,standard,none,65,54,57
910,male,group E,bachelor's degree,standard,completed,70,64,70
158,male,group B,some college,free/reduced,none,60,60,60
852,female,group A,high school,standard,none,61,68,63
172,male,group E,some high school,standard,none,94,88,78
17,male,group C,high school,standard,none,88,89,86
512,male,group A,some high school,standard,none,64,50,43
49,female,group D,associate's degree,free/reduced,completed,57,74,76
972,male,group C,some high school,standard,completed,78,72,69
941,male,group C,master's degree,free/reduced,completed,72,66,72
516,female,group C,some high school,standard,completed,76,87,85
953,female,group E,some high school,free/reduced,none,74,74,72
481,male,group B,high school,standard,completed,73,71,68
284,female,group D,some college,free/reduced,completed,70,78,78
719,female,group C,high school,standard,none,76,76,74
878,male,group C,some high school,standard,none,57,61,54
226,female,group E,master's degree,free/reduced,none,45,56,54
27,male,group B,some college,standard,none,69,54,55
955,female,group C,some college,standard,none,62,69,69
438,male,group D,associate's degree,free/reduced,none,75,66,73
952,female,group D,some college,standard,completed,75,77,83
365,male,group C,some college,standard,none,59,60,58
230,female,group C,some college,standard,completed,88,95,94
38,female,group D,some high school,free/reduced,none,50,64,59
966,female,group D,some college,standard,none,62,70,72
375,female,group D,bachelor's degree,standard,none,59,70,73
470,male,group C,some college,standard,none,91,74,76
968,male,group C,some college,standard,none,63,63,60
851,male,group C,master's degree,standard,none,71,67,67
705,female,group B,some high school,free/reduced,completed,59,63,64
842,male,group C,some high school,standard,none,64,58,51
195,female,group C,master's degree,standard,completed,69,84,85
855,male,group C,some high school,standard,none,62,64,55
865,male,group C,associate's degree,standard,none,97,93,91
504,female,group E,associate's degree,standard,completed,95,89,92
970,female,group B,bachelor's degree,standard,none,75,84,80
831,female,group A,some college,free/reduced,none,61,60,57
580,female,group D,master's degree,standard,none,53,61,68
969,female,group E,associate's degree,standard,none,68,76,67
163,male,group B,master's degree,free/reduced,none,49,53,52
909,female,group C,bachelor's degree,free/reduced,none,67,75,72
153,female,group B,associate's degree,standard,completed,59,70,66
802,male,group C,some high school,standard,completed,76,80,73
994,female,group D,bachelor's degree,free/reduced,none,62,72,74
756,female,group E,associate's degree,standard,none,84,95,92
112,male,group C,high school,standard,none,62,55,49
227,female,group C,some college,standard,none,72,72,71
689,male,group A,high school,free/reduced,none,53,58,44
104,male,group B,high school,standard,completed,60,44,47
422,female,group D,high school,standard,completed,57,58,64
420,male,group E,high school,free/reduced,completed,57,56,54
751,male,group D,some high school,standard,completed,71,69,68
587,female,group A,high school,standard,none,55,73,73
781,female,group D,associate's degree,free/reduced,none,46,56,57
673,female,group C,some college,standard,none,69,78,76
120,female,group C,some college,standard,none,55,69,65
54,male,group D,high school,standard,none,88,78,75
152,male,group A,bachelor's degree,standard,none,77,67,68
404,female,group D,high school,standard,completed,88,99,100
946,female,group C,associate's degree,standard,none,54,61,58
208,male,group E,high school,standard,completed,81,80,76
659,female,group D,associate's degree,free/reduced,none,43,60,58
844,male,group B,some college,free/reduced,completed,74,77,76
763,male,group D,some high school,standard,completed,78,81,86
9,male,group D,high school,free/reduced,completed,64,64,67
808,female,group E,high school,free/reduced,none,41,45,40
37,female,group D,associate's degree,standard,none,74,81,83
453,female,group C,associate's degree,free/reduced,none,65,77,74
652,female,group A,high school,standard,completed,68,80,76
254,male,group D,master's degree,standard,none,80,80,72
304,male,group B,associate's degree,standard,none,80,76,64
747,male,group D,high school,standard,none,69,75,71
572,male,group A,bachelor's degree,standard,none,91,96,92
624,male,group A,some college,standard,completed,100,96,86
733,female,group C,some college,standard,completed,87,89,94
892,female,group E,associate's degree,standard,none,85,92,85
263,female,group C,some high school,free/reduced,none,44,50,51
611,male,group D,some college,free/reduced,completed,69,60,63
298,male,group E,associate's degree,standard,completed,71,74,68
415,female,group C,bachelor's degree,free/reduced,completed,51,72,79
151,male,group A,some high school,standard,completed,62,67,69
789,male,group C,associate's degree,free/reduced,none,68,65,61
641,male,group D,high school,standard,none,41,52,51
890,male,group D,high school,free/reduced,none,44,51,48
551,male,group C,some high school,free/reduced,none,79,76,65
887,female,group E,associate's degree,standard,completed,93,100,95
489,male,group B,some high school,standard,completed,64,53,57
148,male,group C,associate's degree,free/reduced,none,73,68,66
147,male,group B,some high school,standard,none,88,84,75
721,female,group C,some college,free/reduced,none,62,72,70
932,male,group D,some college,free/reduced,none,62,57,62
740,male,group C,high school,free/reduced,none,61,60,55
660,male,group D,associate's degree,standard,none,90,87,85
349,male,group D,high school,free/reduced,none,75,74,66
464,female,group C,some college,free/reduced,none,77,90,91
326,female,group C,some college,standard,none,82,90,94
187,male,group E,high school,standard,none,80,76,65
124,male,group D,high school,free/reduced,none,63,57,56
854,male,group E,some high school,standard,none,82,67,61
609,female,group E,some college,standard,none,61,64,62
144,male,group A,high school,standard,none,57,43,47
959,female,group D,high school,standard,none,45,63,59
198,male,group E,high school,free/reduced,none,55,56,51
610,female,group B,associate's degree,standard,none,58,63,65
280,male,group B,bachelor's degree,free/reduced,none,73,56,57
294,female,group E,bachelor's degree,standard,none,65,73,75
401,female,group C,some high school,standard,completed,59,54,67
123,female,group C,some college,standard,completed,88,93,93
184,female,group D,associate's degree,standard,none,65,69,70
203,male,group C,associate's degree,standard,none,69,77,69
439,male,group C,high school,standard,none,70,56,51
247,male,group E,associate's degree,standard,none,89,76,74
416,male,group E,high school,standard,none,84,73,69
933,male,group D,associate's degree,free/reduced,completed,61,71,73
766,female,group B,high school,standard,none,74,72,72
907,male,group B,high school,standard,none,57,48,51
836,female,group C,high school,standard,completed,60,64,74
888,male,group C,high school,free/reduced,none,54,72,59
130,female,group A,bachelor's degree,standard,none,51,49,51
638,female,group D,some high school,standard,completed,80,92,88
403,female,group A,some college,free/reduced,none,49,65,55
785,male,group C,bachelor's degree,standard,completed,91,81,79
771,male,group B,high school,standard,none,52,48,49
736,male,group C,master's degree,standard,none,67,57,59
914,female,group C,bachelor's degree,free/reduced,completed,47,62,66
220,male,group B,some high school,standard,completed,61,56,56
642,female,group D,associate's degree,free/reduced,completed,74,88,90
916,female,group E,some college,standard,none,68,70,66
753,male,group C,master's degree,free/reduced,completed,79,77,75
807,female,group D,some college,free/reduced,none,64,74,75
920,male,group B,some college,standard,completed,91,96,91
625,female,group E,bachelor's degree,free/reduced,none,61,58,62
875,female,group C,bachelor's degree,free/reduced,none,43,62,61
761,female,group C,high school,free/reduced,none,53,72,64
387,female,group E,bachelor's degree,standard,none,64,73,70
973,female,group A,high school,free/reduced,completed,53,50,60
510,female,group C,bachelor's degree,standard,none,86,92,87
268,female,group D,high school,standard,none,69,72,77
820,female,group C,some high school,standard,none,77,91,88
442,female,group D,high school,standard,none,78,81,80
497,female,group C,some college,standard,none,54,48,52
113,male,group A,associate's degree,standard,none,54,53,47
692,female,group E,associate's degree,free/reduced,none,73,76,78
233,female,group B,bachelor's degree,standard,none,67,86,83
870,male,group C,associate's degree,free/reduced,none,49,51,51
608,female,group C,master's degree,free/reduced,none,40,58,54
672,male,group D,associate's degree,free/reduced,none,52,57,50
374,female,group D,some college,standard,completed,82,97,96
982,male,group D,some high school,standard,none,81,78,78
843,female,group B,high school,free/reduced,completed,23,44,36
234,male,group E,some high school,standard,none,92,87,78
786,female,group B,some high school,standard,completed,32,51,44
677,female,group E,some college,standard,completed,73,78,76
318,male,group C,associate's degree,standard,none,83,72,78
649,female,group B,high school,standard,none,50,53,55
411,female,group D,master's degree,standard,completed,70,71,74
899,male,group D,associate's degree,standard,completed,67,54,63
710,female,group D,associate's degree,free/reduced,completed,42,61,58
359,male,group D,some college,free/reduced,none,59,62,61
259,female,group B,some college,standard,none,70,75,78
745,male,group B,some college,free/reduced,none,55,55,47
628,male,group D,associate's degree,standard,none,61,48,46
